"","address","zip","year_built","BEPS_score","meets_beps","latitude","longitude","owner","property_name"
"725","1616 18TH STREET NW",20009,1961,"66","Yes",38.92075042,-76.98205354,"EQR-DUPONT CORCORAN LLC","Corcoran House at Dupont Circle - 29811"
"726","1500 NEW HAMPSHIRE AVENUE NW",20036,1947,"54","No",38.89938953,-77.03044187,"DOYLE DUPONT LLC","Dupont Doyle LLC"
"727","15 DUPONT CIRCLE NW",20036,1890,"66","No",38.94021181,-76.99678883,"PATTERSON OWNER SPE LLC","Ampeer Residences"
"728","1511 NEW HAMPSHIRE AVENUE NW",20036,1974,"71","Yes",38.90387523,-77.06566446,"FP 11 DUPONT CIRCLE LLC","11 Dupont Circle"
"729","1800 MASSACHUSETTS AVENUE NW",20036,1978,"71","Yes",38.90745418,-77.03970689,"1800 MASSACHUSETTS AVENUE CORP","1800 Massachusetts Avenue NW (SEIU)"
"730","1350 CONNECTICUT AVENUE NW",20036,1926,"71","No",38.84102103,-77.00308686,"1350 CONNECTICUT AVE LP","The Triangle Building"
"731","1330 CONNECTICUT AVENUE NW",20036,1984,"71","Yes",38.92514914,-77.04403165,"BP 1330 CONNECTICUT AVENUE LLC","1330 Connecticut Ave., NW"
"732","1300 CONNECTICUT AVENUE NW",20036,1956,"71","Yes",38.90101902,-77.00843736,"TRT 1300 CONNECTICUT AVE OWNER LLC","1300 Connecticut Avenue NW"
"733","1820 N STREET NW",20036,1983,"71","Yes",38.95016452,-77.07777801,"LENKIN-N LP","1818 N St"
"734","1208 18TH STREET NW",20036,1947,"71","No",38.94020243,-77.05992814,"RING ASSOCIATES LLC","The Ring Building"
"735","1226 CONNECTICUT AVENUE NW",20036,1964,"71","Yes",38.89584259,-77.01090271,"1250C CO. LLC","1250 Conn Ave"
"736","1225 19TH STREET NW",20036,1963,"71","No",38.92459173,-77.03600031,"MCP II JEFFERSON LLC","DC Jefferson Building LLC - DC Reporting"
"737","1823 L STREET NW",20036,1965,"54","Yes",38.89641359,-77.01056954,"L STREET HOTEL LLC","RL Washington DC"
"738","1105 19TH STREET NW",20036,1978,"71","Yes",38.89307505,-76.9958289,"1899 L  STREET TOWER LLC","1899 L Street"
"739","1111 19TH STREET NW",20036,1979,"71","Yes",38.90651292,-77.03738576,"UNIZO REAL ESTATE DC NINE LLC","1111 19th St NW"
"740","1850 M STREET NW",20036,1985,"71","Yes",38.96207866,-77.02728514,"HANCOCK REIT 1850M LLC","1850 M St."
"741","1801 L STREET NW",20036,1987,"71","No",38.90290734,-77.04767019,"BARRY L SCHREIBER TRUSTEE","1801 L St. N.W."
"742","1150 18TH STREET NW",20036,1990,"71","Yes",38.91784925,-76.97417163,"DMARC 2007 CD5 1150 OFFICE LLC","1150 18th Street"
"743","1800 M STREET NW",20036,1978,"71","No",38.9224168,-77.03876546,"1800 M STREET OWNER LP","1800 M Street"
"744","1819 L STREET NW",20036,1982,"71","Yes",38.92961371,-76.98686691,"SASAKAWA PEACE FOUNDATION USA INC","1819 L Street NW"
"745","1133 19TH STREET NW",20036,1980,"71","No",38.91028684,-77.05578178,"1137 19TH STREET ASSOCIATES LLC","Verizon Building - 1133 19th St NW"
"746","1145 19TH STREET NW",20036,1955,"62","Yes",38.94579943,-76.99130975,"SNH MEDICAL OFFICE PROPERTIES TRUST","1145 19th Street NW"
"747","1850 G STREET NW",20006,1965,"71","Yes",38.95267071,-77.06948838,"NORTHWESTERN DEVELOPMENT CO","Northwestern Building"
"748","1618 NEW HAMPSHIRE AVENUE NW",20009,1909,"229.4","Yes",38.94169748,-77.07689927,"VIRGINIA M PAINTER","General Grand Chapter OES Headquarters"
"749","1731 NEW HAMPSHIRE AVENUE NW",20009,1940,"54","Yes",38.91597825,-76.97813428,"1731 NH AVENUE OWNER LLC","The Carlyle - Dupont Circle"
"750","1730 R STREET NW",20009,1922,"36","Yes",38.89644062,-77.04817587,"DISTRICT OF COLUMBIA","Ross Elementary School"
"751","1601 18TH ST NW",20009,1962,"66","Yes",38.87734268,-77.00487174,"IMPERIAL HOUSE CONDO","Imperial House Condominium"
"752","1526 17TH STREET NW",20036,1916,"66","Yes",38.86605047,-76.98362344,"CAVANAUGH COURT OWNERS","Cavanaugh Court"
"753","1514 17TH STREET NW",20036,1917,"66","Yes",38.9449817,-77.07842514,"COPLEY PLAZA COOPERATIVE INC","Copley Plaza Cooperative - 1514 17th St. NW"
"754","1545 18TH STREET NW",20036,1900,"66","Yes",38.90302499,-77.06360384,"DUPONT EAST CONDO","Dupont East Condominium"
"755","1734 P STREET NW",20036,1914,"Under Review","Under Review",38.91342507,-77.03427065,"AVONDALE COOPERATIVE APARTMENTS INC","1734 P Street NW"
"756","1785 MASSACHUSETTS AVENUE NW",20036,1919,"71","No",38.93770195,-77.07466192,"AEI 1785 MASSACHUSETTS AVENUE PROPERTY OWNER LLC","Daniel A. D'Aniello Building"
"757","1750 P STREET NW",20036,1998,"66","No",38.93132539,-76.99856905,"DUPONT CIRCLE-GABLES","Dupont Circle-Gables"
"758","1701 MASSACHUSETTS AVENUE NW",20036,1939,"66","Yes",38.9005199,-77.04146478,"1701 MASSACHUSETTS AVENUE LLC","The Baystate (by050)"
"759","1717 MASSACHUSETTS AVENUE NW",20036,1963,"71","Yes",38.86757769,-76.98805966,"THE JOHN HOPKINS UNIVERSITY","Bernstein Offit Building"
"760","1755 MASSACHUSETTS AVENUE NW",20036,1959,"71","No",38.86413687,-76.95186768,"BROOKINGS INSTITUTION","Brookings Institution"
"761","1755 MASSACHUSETTS AVENUE NW",20036,1959,"71","No",38.94454445,-77.06000677,"BROOKINGS INSTITUTION","Brookings Institution Annex"
"762","1779 MASSACHUSETTS AVENUE NW",20036,1997,"71","No",38.88164637,-77.01345407,"CARNEGIE ENDOWMENT FOR INTL PEACE","Carnegie Endowment for International Peace"
"763","1414 17TH STREET NW",20036,1955,"66","Yes",38.93643464,-77.03726465,"F G H BRUNSWICK LLC","BRUNSWICK HOUSE APTS"
"764","1718 P STREET NW",20036,1968,"66","Yes",38.94163149,-77.03140013,"WEBSTER HOUSE CONDO","Webster House Condominium"
"765","1727 MASSACHUSETTS AVENUE NW",20036,1965,"66","No",38.82248591,-77.01022613,"THE WINTHROP CONDOMINIUM","Winthrop Condominium Association, Inc."
"766","1711 MASSACHUSETTS AVENUE NW",20036,1950,"66","No",38.90052034,-77.04300738,"BOSTON HOUSE CONDO","Boston House Condominium"
"767","1771 N STREET NW",20036,1968,"71","No",38.90225717,-77.04699731,"SRPF A/1771 N STREET LLC","NAB"
"768","1776 MASSACHUSETTS AVE NW",20036,1970,"71","Yes",38.91729378,-77.03052043,"1776 MASS AVE RE LLC","1776 Mass Ave RE LLC Washington DC"
"769","1740 MASSACHUSETTS AVENUE NW",20036,1962,"71","No",38.88360989,-77.03045116,"JOHNS HOPKINS UNIVERSITY","Paul H.Nitze"
"770","1733 N STREET NW",20036,1964,"Under Review","Under Review",38.928175,-76.99838228,"JEMALS DUPONT HOTEL LLC","Topaz Hotel"
"771","1211 CONNECTICUT AVENUE NW",20036,1968,"71","Yes",38.91735697,-77.04554225,"FP 1211 CONNECTICUT AVENUE LLC","1211 Connecticut"
"772","1752 N STREET NW",20037,1883,"71","Yes",38.90437611,-77.04695466,"AMERICAN SOCIETY FOR MICROBIOLOGY","AMERICAN SOCIETY FOR MICROBIOLOGY"
"773","1201 CONNECTICUT AVENUE NW",20036,1941,"71","Yes",38.92031879,-77.02464929,"1201 CONNECTICUT NOVEL COWORKING LLC","1201 Connecticut Novel Coworking LLC (Longfellow Building)"
"774","1717 RHODE ISLAND AVENUE NW",20037,1908,"71","No",38.90950818,-77.04085661,"ROMAN CATHOLIC ARCHBISHOP OF WASHINGTON","1717 Rhode Island - 2021"
"775","1725 RHODE ISLAND AVENUE NW",20036,1908,"17","Yes",38.95211629,-77.02716389,"ROMAN CATHOLIC ARCHBISHOP  OF WASHINGTON","Cathedral of St. Matthew the Apostle"
"776","1719 M STREET NW",20036,1966,"71","Yes",38.90342064,-77.03824384,"MAIZELS FAMILY LIMITED LIABILITY LIMITED PARTNERSHIP","OFC Building"
"777","1200 17TH STREET NW",20036,2014,"71","Yes",38.9081694,-77.0452742,"1200 17TH STREET INVESTORS LLC","1200 17th Street"
"778","1741 L STREET NW",20036,1968,"71","No",38.90064928,-77.02330905,"ELEVEN HUNDRED CONN AVE ASSOCIATES LLC","Eleven Hundred Connecticut Avenue"
"779","1111 18TH STREET NW",20223,1965,"71","No",38.86394582,-76.99792595,"JACK I BENDER & SONS INC","1111"
"780","1139 18TH STREET NW",20036,1967,"71","Yes",38.94444659,-76.99155815,"WRIT 1140 CT LLC","1140 Connecticut Avenue (vc92)"
"781","1120 CONNECTICUT AVENUE NW",20036,1959,"71","Yes",38.92990059,-77.05556773,"JACK I BENDER & SONS INC","Bender Building"
"782","1150 CONNECTICUT AVENUE NW",20036,1975,"71","Yes",38.8855776,-77.00605691,"NORTHWESTERN DEVELOPMENT COMPANY B","Connecticut Building"
"783","1730 M ST NW",20036,1963,"71","Yes",38.91235253,-77.04547736,"GERALD D GROSNER","1730 M St NW"
"784","1100 17TH STREET NW",20036,1962,"71","Yes",38.93069004,-77.05646182,"1100 17TH STREET OWNER LLC","1100 17th Street NW"
"785","1717 DE SALES STREET NW",20036,1980,"71","No",38.92760695,-77.05351532,"1717 DESALES STREET LLC","1717 DeSales"
"786","1740 M STREET NW",20036,1984,"71","No",38.90748579,-77.00054928,"1155 CONNECTICUT AVENUE INC","Demonet Building"
"787","1133 CONNECTICUT AVENUE NW",20036,1988,"71","No",38.90008884,-77.03303118,"CONNECTICUT / DESALES LLC","1133 Connecticut Ave"
"788","1707 L STREET NW",20036,1963,"71","Yes",38.90289189,-77.00659,"1709 L STREET NW LLC","1707 L Street"
"789","1725 DE SALES STREET NW",20036,1962,"71","No",38.90538691,-77.03409949,"DESALES VENTURE LLC","1725 DeSales St NW"
"790","1127 CONNECTICUT AVENUE NW",20036,1925,"54","Yes",38.9233557,-77.07276603,"WSRH WASHINGTON LLC","27103-The Mayflower Autograph Collection"
"791","1775 K STREET NW",20006,1969,"71","Yes",38.90051073,-77.00860803,"UNITED FOOD AND COMMERCIAL WORKERS INTERNATIONAL UNION","UFCW Building"
"792","1015 18TH STREET NW",20036,1970,"153.7","No",38.90213997,-77.03687333,"1015 18TH STREET OWNER LLC","1015 18th Street"
"793","1719 K STREET NW",20006,2012,"71","Yes",38.92203033,-77.01620729,"CONNECTICUT & K ASSOCIATES LLC","1717 K St NW"
"794","1735 K STREET NW",20006,1963,"71","No",38.89953196,-77.02738353,"NATIONAL ASSOC SECURITIES DEALERS INC","FINRA1735K"
"795","1701 K STREET NW",20006,1954,"71","No",38.92838352,-77.05379292,"1701 K LLC","1701 K Street: 1701 K Street Northwest"
"796","1009 CONNECTICUT AVENUE NW",20036,1953,"71","Yes",38.85874763,-76.99118508,"1001 CONNECTICUT AVENUE LLC","1001 Connecticut Ave NW: 1001 Connecticut Avenue Northwest"
"797","1027 CONNECTICUT AVENUE NW",20036,1967,"71","Yes",38.97489207,-77.01677982,"BLAKE DEVELOPMENT COMPANY","Blake Building"
"798","801 17TH STREET NW",20006,2009,"71","No",38.89314012,-76.94745721,"801 17TH HOLDINGS LLC","801 Seventeenth Street NW"
"799","800 CONNECTICUT AVENUE NW",20006,1991,"71","No",38.91787693,-77.03537262,"ANN T MAIATICO TRUSTEE","800 Connecticut Ave. NW"
"800","839 17TH STREET NW",20006,1926,"54","No",38.92629476,-77.04346289,"CQ DC ACQUISITION LLC","Club Quarters Washington DC"
"801","1634 I STREET NW",20006,1961,"71","No",38.90061326,-77.00702798,"1634 EYE LLC","1634 I Street: 1634 I Street Northwest"
"802","818 CONNECTICUT AVENUE NW",20006,1977,"71","No",38.90934019,-77.03936804,"818 CONNECTICUT LLC","818 Connecticut"
"803","1751 PENNSYLVANIA AVENUE NW",20006,1969,"71","No",38.96313358,-77.02741328,"1747 PENNSYLVANIA AVENUE ASSOCIATES LP","1747 Penn Ave"
"804","1775 PENNSYLVANIA AVENUE NW",20006,1975,"71","No",38.90320294,-77.03239727,"RS WASHINGTON CORPORATION","1775 Penn Ave"
"805","1717 PENNSYLVANIA AVENUE NW",20006,1960,"71","No",38.84319249,-77.00078431,"1717 PENNSYLVANIA AVENUE LLC","1717 Penn Ave"
"806","1700 H STREET NW",20006,1908,"573.7","Yes",38.90754087,-77.04270286,"METROPOLITAN CLUB OF THE CITY OF WASHINGTON","The Metropolitan Club of the City of Washington"
"807","750 17TH STREET NW",20006,1989,"71","Yes",38.89056424,-76.98383786,"MANUFACTURERS LIFE INSURANCE COMPANY","750 17th St."
"808","1710 H STREET NW",20006,2005,"66","No",38.89961622,-76.98577115,"WASHINGTON H STREET ASSOCIATES LLC","AKA White House"
"809","1700 PENNSYLVANIA AVENUE NW",20006,1965,"71","No",38.92043332,-76.95543835,"THE MILLS BUILDING ASSOCIATES LLC","1700 Pennsylvania Avenue NW (Mills)"
"810","1730 PENNSYLVANIA AV NW",20006,1972,"71","No",38.94131631,-77.02847658,"1730 PENNSYLVANIA AVENUE LP","1730 Pennsylvania Ave NW"
"811","1776 G ST NW",20006,1978,"71","No",38.90431111,-77.04795406,"WASHINGTON REAL ESTATE INVESTMENT TRUST","1776 G Street"
"812","1777 F STREET NW",20006,1981,"71","No",38.93192957,-77.05548466,"COUNCIL ON FOREIGN RELATIONS INC","CFR"
"813","1735 NEW YORK AVENUE NW",20006,1971,"71","No",38.90158389,-77.0348295,"THE AMERICAN INSTITUTE OF ARCHITECTS","1735 New York Avenue"
"814","1750 NEW YORK AVENUE NW",20006,1973,"71","No",38.96485377,-77.03145894,"UNITED UNIONS INC","1750 New York Ave. Washington DC (United Unions)"
"815","1700 NEW YORK AVENUE NW",20006,2013,"71","Yes",38.9215688,-77.03918625,"1700 NEW YORK AVENUE LLC","1700 New York Avenue"
"816","1776 D STREET NW",20006,1912,"240.2","Yes",38.93342373,-77.02428351,"NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION","DAR Building"
"817","1617 U STREET NW",20009,1966,"185.5","No",38.96145653,-77.08436487,"DISTRICT OF COLUMBIA","Engine Company 9"
"818","1620 V STREET NW",20009,1950,"185.5","Yes",38.87700549,-76.99557896,"DISTRICT OF COLUMBIA","Third District Station"
"819","2301 M ST NW",20037,1981,"62","No",38.9000054,-77.04104935,"CHROMIUM LLC","Chromium"
"820","1201 24TH ST NW",20037,1986,"54","Yes",38.90419313,-77.0286272,"BW HOSPITALITY LLC","Park Hyatt Washington"
"821","1230 23RD STREET NW",20037,1989,"71","No",38.89681937,-76.9227011,"1230-1250 23RD ST CONDOMINIUM","Metropolitan Condominium - 1250 23rd Street"
"822","2311 M STREET NW",20037,1989,"0","Yes",38.83591781,-77.00005457,"THE MARK OF M CONDOMINIUM","The Mark on M Condo Reporting"
"823","2350 M ST NW",20037,1984,"54","No",38.84255062,-76.99816709,"STARWOOD REALTY CMBS I LLC","84SC0-The Westin Grand, Washington DC"
"824","1140 23RD STREET NW",20037,1981,"66","No",38.89640372,-77.00990981,"THE GIBSON CONDOMINIUM","Gibson Condominium"
"825","1111 24TH ST NW",20037,2017,"66","No",38.90497971,-77.01728829,"WESTLIGHT CONDOMINIUM","1Westlight"
"826","107 WASHINGTON CIRCLE NW",20037,1909,"66","Yes",38.92738802,-77.03157019,"THE CHANCELLOR CONDO","3 Washington Circle"
"827","900 23RD STREET NW",20037,2002,"50","No",38.98029827,-77.02700786,"GEORGE WASHINGTON","George Washington University Hospital"
"828","2300 I STREET NW",20052,1964,"241.4","No",38.90750828,-77.03309918,"GEORGE WASHINGTON UNIVERSITY","DOEE - Foggy Bottom Campus"
"829","1575 I STREET NW",20005,1979,"71","Yes",38.93209464,-77.08433832,"DUWALIYA US REAL ESTATE INC","1575 Eye Street"
"830","950 15TH STREET NW",20005,1929,"71","No",38.93137706,-77.07878617,"1500 K STREET LLC","1500 K Street - The Southern Railway Building"
"831","900 15TH STREET NW",20005,2002,"66","No",38.93675356,-77.08310818,"SUMMIT GRAND PARC LLC","Camden Grand Parc-Camden"
"832","815 16TH STREET NW",20006,1956,"71","No",38.92806841,-76.96093838,"AFL & CIO TRUSTEES","AFL-CIO"
